"_id","gsl_code","total_profitable_asins"
"ObjectId(""66e9af0b2b5396a18b716bb5"")","AUA",54360
"ObjectId(""66e9af0b2b5396a18b716bb6"")","AGA",30539
"ObjectId(""66e9af0b2b5396a18b716bb7"")","AIA",25595
"ObjectId(""66e9af0b2b5396a18b716bb8"")","AEA",27328
"ObjectId(""66e9af0b2b5396a18b716bb9"")","AFA",25686
"ObjectId(""66e9af0b2b5396a18b716bba"")","AHA",15495
"ObjectId(""66e9af0b2b5396a18b716bbb"")","AGU",15956
"ObjectId(""66e9af0b2b5396a18b716bbc"")","AAU",30210
"ObjectId(""66e9af0b2b5396a18b716bbd"")","ACA",451
"ObjectId(""66e9af0b2b5396a18b716bbe"")","AFU",9045
"ObjectId(""66e9af0b2b5396a18b716bbf"")","AEU",10149
"ObjectId(""66e9af0b2b5396a18b716bc0"")","AIU",9365
"ObjectId(""66e9af0b2b5396a18b716bc1"")","ACU",1314
"ObjectId(""66e9af0b2b5396a18b716bc2"")","AHU",2704
"ObjectId(""66e9af0b2b5396a18b716bc3"")","ASA",14
"ObjectId(""66e9af0b2b5396a18b716bc4"")","ASU",2
"ObjectId(""66e9af0b2b5396a18b716bc5"")","AMA",2